vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,codigo_error,irradiancia,temp1,temp2,timestamp
150,1.4,217.5,149.8,0.9,148.5,358.8,60.01,216.6,1.6,5.1,183.0,34.3,0,466.14010099702233,27.5,27.562,2024-11-10 14:17:55
151.9,1.3,208.4,150.2,0.8,136.0,338.7,59.99,216.6,1.5,5.1,183.0,34.2,0,155.38003366567412,26.937,26.937,2024-11-10 14:22:58
155.8,1.4,217.3,152.2,0.8,133.9,344.1,59.99,216.6,1.5,5.1,183.0,34.1,0,582.6751262462822,26.5,26.5,2024-11-10 14:28:00
152.9,1.4,224.8,151.9,0.8,133.8,351.8,60,216.4,1.6,5.2,183.1,33.9,0,543.8301178298565,26.0,26.0,2024-11-10 14:33:02
149.7,1.4,213.0,149,0.8,128.1,337.1,60.02,216.3,1.5,5.2,183.1,34,0,349.60507574776244,25.875,25.875,2024-11-10 14:38:04
149.9,1.2,183.1,154.2,0.7,114.1,291.5,60.02,216.7,1.3,5.2,183.1,34,0,349.6050757477682,25.75,25.812,2024-11-10 14:43:07
152.2,1.1,183.7,148.9,0.7,112.7,290.7,60,216.5,1.3,5.2,183.1,33.6,0,271.915058914934,25.562,25.625,2024-11-10 14:48:09
155.8,1,173.7,154.6,0.6,106.0,274.0,60.06,216.5,1.2,5.3,183.2,33.4,0,233.07005049851404,25.625,25.625,2024-11-10 14:53:11
150,1.1,171.9,148.7,0.6,105.8,272.1,60,215.8,1.3,5.3,183.2,33.4,0,582.6751262462765,25.5,25.5,2024-11-10 14:58:13
154.2,1.1,180.9,151.6,0.6,107.9,283.1,60.01,216.2,1.3,5.3,183.2,33.4,0,155.38003366567412,25.562,25.562,2024-11-10 15:03:16
148.6,1,167.2,148.9,0.6,105.3,266.0,59.99,216.7,1.2,5.3,183.2,33.2,0,233.0700504985083,25.687,25.687,2024-11-10 15:08:18
151.5,0.8,141.4,151.7,0.5,88.6,225.7,60.03,216.6,1,5.4,183.3,33.1,0,543.8301178298623,25.5,25.5,2024-11-10 15:13:20
147,0.7,126.5,145.8,0.4,76.3,198.9,59.98,216.1,0.9,5.4,183.3,33,0,427.29509258060233,25.437,25.437,2024-11-10 15:18:23
147.7,0.7,116.6,149.4,0.4,69.8,183.6,60,216.2,0.8,5.4,183.3,33,0,77.69001683283417,25.312,25.25,2024-11-10 15:23:25
150,0.6,102.1,148.8,0.3,58.3,157.3,60.03,216.4,0.7,5.4,183.3,32.9,0,388.4500841641824,25.125,25.125,2024-11-10 15:28:27
148.4,0.5,89.4,144.8,0.2,48.2,134.7,59.99,216.6,0.6,5.4,183.3,32.8,0,504.98510941343653,25.062,25.062,2024-11-10 15:33:29
151.4,0.4,79.9,139.8,0.2,39.8,117.8,59.96,215.7,0.6,5.4,183.3,32.6,0,271.91505891492824,24.875,24.937,2024-11-10 15:38:32
146.9,0.3,69.4,144,0.1,32.5,99.9,60,216.4,0.5,5.4,183.3,32.5,0,77.69001683283417,24.812,24.812,2024-11-10 15:43:34
143.2,0.3,62.3,145.3,0.1,28.4,89.1,60.01,216.7,0.4,5.4,183.3,32.5,0,271.91505891492824,24.75,24.75,2024-11-10 15:48:36
146.9,0.3,59.8,145.7,0.1,26.9,85.1,60.04,216.4,0.3,5.4,183.3,32.2,0,427.29509258060233,24.687,24.687,2024-11-10 15:53:38
146.9,0.2,58.1,142.1,0.1,24.5,81.1,60,216.6,0.5,5.5,183.4,32.2,0,504.9851094134423,24.687,24.687,2024-11-10 15:58:41
145,0.2,57.1,142.7,0.1,26.1,81.7,60.02,216.5,0.4,5.5,183.4,32.1,0,116.53502524925415,24.562,24.625,2024-11-10 16:03:43
143.3,0.3,57.3,148.9,0.1,26.5,82.8,60.02,216.1,0.5,5.5,183.4,32,0,504.9851094134423,24.562,24.562,2024-11-10 16:08:45
145,0.2,57.0,144.5,0.1,26.7,82.3,60.04,216.3,0.5,5.5,183.4,32,0,233.0700504985083,24.562,24.562,2024-11-10 16:13:48
147.6,0.2,55.1,141.7,0.1,22.7,76.5,60,216.4,0.5,5.5,183.4,31.8,0,194.22504208209406,24.5,24.5,2024-11-10 16:18:50
142,0.2,52.6,143.9,0.1,19.4,69.6,60,216.5,0.4,5.5,183.4,31.7,0,233.07005049851404,24.437,24.437,2024-11-10 16:23:52
140.5,0.2,45.6,137.2,0,15.9,60.5,59.97,216.2,0.5,5.5,183.4,31.6,0,155.38003366567412,24.375,24.375,2024-11-10 16:28:54
136.8,0.1,36.7,127.3,0,9.1,45.1,59.98,216.5,0.4,5.5,183.4,31.6,0,310.76006733134824,24.312,24.312,2024-11-10 16:33:57
138.8,0.1,30.4,107.4,0,3.6,33.4,60.01,216.5,0.3,5.5,183.4,31.5,0,388.4500841641824,24.187,24.187,2024-11-10 16:38:59
133.3,0,16.2,155.4,0,2.5,18.5,59.95,215.9,0.4,5.5,183.4,31.3,0,38.845008416419965,24.0,24.0,2024-11-10 16:44:01
