vpv1,ipv1,pv1_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
,,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,6487.116405541889,,,2025-05-08 05:15:47
,,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,4234.105917389615,,,2025-05-08 05:16:49
0,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,6720.186456040399,,,2025-05-08 05:17:02
0,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,4894.47106046873,,,2025-05-08 05:17:50
,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,6681.3414476239805,,,2025-05-08 05:18:03
0,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,4894.47106046873,,,2025-05-08 05:18:51
,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,6836.721481289655,,,2025-05-08 05:19:05
0,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,5593.681211964264,,,2025-05-08 05:19:52
0,0,0.0,0.0,0,0,0,0.0,607.1,0,0.0,0.0,0,6797.876472873237,,,2025-05-08 05:20:06
83.4,0,0.0,0.0,0,0,0,0.0,607.1,22.7,0.0,0.0,302,6681.3414476239805,,,2025-05-08 05:20:52
118.1,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,6642.496439207563,,,2025-05-08 05:21:06
147.8,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,6176.35633821054,,,2025-05-08 05:21:53
148.6,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,4350.640942638871,,,2025-05-08 05:22:07
151.2,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,6525.961413958306,,,2025-05-08 05:22:54
151.9,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,5865.596270879193,,,2025-05-08 05:23:08
153.5,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,5593.681211964264,,,2025-05-08 05:23:54
154,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,4311.795934222452,,,2025-05-08 05:24:08
155.2,0,0.0,0.0,0,0,0,0.0,607.1,22.8,0.0,0.0,302,5982.131296128448,,,2025-05-08 05:24:55
155.4,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,6681.3414476239805,,,2025-05-08 05:25:09
156.1,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,6176.35633821054,,,2025-05-08 05:25:56
156.3,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,5632.526220380682,,,2025-05-08 05:26:09
157.4,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,6176.35633821054,,,2025-05-08 05:26:56
157.9,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,6370.581380292633,,,2025-05-08 05:27:10
159.5,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,4661.401009970219,,,2025-05-08 05:27:57
159.9,0,0.0,0.0,0,0,0,0.0,607.1,22.9,0.0,0.0,302,5710.216237213519,,,2025-05-08 05:28:11
160.6,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4583.710993137382,,,2025-05-08 05:28:58
160.8,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4272.950925806033,,,2025-05-08 05:29:11
161.2,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4894.47106046873,,,2025-05-08 05:29:59
161.3,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4428.3309594717075,,,2025-05-08 05:30:12
161.5,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4855.626052052312,,,2025-05-08 05:30:59
161.4,0,0.0,0.0,0,0,0,0.0,607.1,23,0.0,0.0,302,4855.626052052312,,,2025-05-08 05:31:13
161.4,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,6797.876472873237,,,2025-05-08 05:32:00
161.4,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,5438.30117829859,,,2025-05-08 05:32:13
162,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,4933.3160688851485,,,2025-05-08 05:33:01
162.1,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,4234.105917389615,,,2025-05-08 05:33:14
162.6,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,6137.5113297941225,,,2025-05-08 05:34:01
162.8,0,0.0,0.0,0,0,0,0.0,607.1,23.1,0.0,0.0,302,4739.091026803056,,,2025-05-08 05:34:15
163.4,0,0.0,0.0,0,0,0,0.0,607.1,23.2,0.0,0.0,302,6292.891363459797,,,2025-05-08 05:35:02
163.7,0,0.0,0.0,0,0,0,0.0,607.1,23.2,0.0,0.0,302,6487.116405541889,,,2025-05-08 05:35:15
164.4,0,0.0,0.0,0,0,0,0.0,607.1,23.2,0.0,0.0,302,6059.821312961286,,,2025-05-08 05:36:03
164.6,0,0.0,0.0,0,0,0,0.0,607.1,23.2,0.0,0.0,302,4195.260908973197,,,2025-05-08 05:36:16
164.9,0,0.0,0.0,0,0,0,0.0,607.1,23.3,0.0,0.0,302,5710.216237213518,,,2025-05-08 05:37:04
165,0,0.0,0.0,0,0,0,0.0,607.1,23.3,0.0,0.0,302,6564.806422374725,,,2025-05-08 05:37:17
165.1,0,0.0,0.0,0,0,0,0.0,607.1,23.3,0.0,0.0,302,5477.146186715008,,,2025-05-08 05:38:04
165.1,0,0.0,0.0,0,0,0,0.0,607.1,23.3,0.0,0.0,302,6603.651430791144,,,2025-05-08 05:38:17
165.1,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,4700.246018386637,,,2025-05-08 05:39:05
165.1,0,0.0,0.0,0,0,0,0.0,607.1,23.3,0.0,0.0,302,6525.961413958306,,,2025-05-08 05:39:18
165.3,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,6759.031464456818,,,2025-05-08 05:40:06
165.3,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,4816.781043635893,,,2025-05-08 05:40:19
165.7,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,6254.046355043378,,,2025-05-08 05:41:06
165.8,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,5865.596270879192,,,2025-05-08 05:41:19
166.4,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,4389.485951055289,,,2025-05-08 05:42:07
166.6,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,6759.031464456818,,,2025-05-08 05:42:20
167.1,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,6759.031464456818,,,2025-05-08 05:43:08
167.2,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,4234.105917389615,,,2025-05-08 05:43:21
167.6,0,0.0,0.0,0,0,0,0.0,607.1,23.4,0.0,0.0,302,6409.426388709052,,,2025-05-08 05:44:08
167.6,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,6215.201346626959,,,2025-05-08 05:44:21
167.6,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,5904.441279295612,,,2025-05-08 05:45:09
167.5,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,6875.566489706073,,,2025-05-08 05:45:22
167,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,4661.401009970219,,,2025-05-08 05:46:10
166.9,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,6681.3414476239805,,,2025-05-08 05:46:22
166,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,5011.006085717986,,,2025-05-08 05:47:11
165.9,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,4661.401009970219,,,2025-05-08 05:47:23
165.7,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,6564.806422374725,,,2025-05-08 05:48:11
165.6,0,0.0,0.0,0,0,0,0.0,607.1,23.5,0.0,0.0,302,6292.891363459797,,,2025-05-08 05:48:24
165.7,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,6020.976304544866,,,2025-05-08 05:49:12
165.7,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,4739.091026803056,,,2025-05-08 05:49:24
166,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,4583.710993137382,,,2025-05-08 05:50:13
166.2,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,4661.401009970219,,,2025-05-08 05:50:25
166.9,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,6720.186456040399,,,2025-05-08 05:51:13
167,0,0.0,0.0,0,0,0,0.0,607.1,23.6,0.0,0.0,302,6759.031464456818,,,2025-05-08 05:51:26
167.4,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4195.260908973197,,,2025-05-08 05:52:14
167.5,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4272.950925806033,,,2025-05-08 05:52:26
167.9,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4234.105917389615,,,2025-05-08 05:53:15
168,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,5244.076136216497,,,2025-05-08 05:53:27
168.6,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4661.401009970219,,,2025-05-08 05:54:15
168.8,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,6098.666321377705,,,2025-05-08 05:54:28
169.5,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,6603.651430791144,,,2025-05-08 05:55:16
169.6,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4350.640942638871,,,2025-05-08 05:55:28
169.9,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4195.260908973197,,,2025-05-08 05:56:17
170.1,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,4156.415900556778,,,2025-05-08 05:56:29
170.7,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,5011.006085717986,,,2025-05-08 05:57:18
170.8,0,0.0,0.0,0,0,0,0.0,607.1,23.7,0.0,0.0,302,5982.131296128448,,,2025-05-08 05:57:30
171.3,0,0.0,0.0,0,0,0,0.0,607.1,23.8,0.0,0.0,302,6331.736371876214,,,2025-05-08 05:58:18
171.5,0,0.0,0.0,0,0,0,0.0,607.1,23.8,0.0,0.0,302,6331.736371876214,,,2025-05-08 05:58:30
171.9,0,0.0,0.0,0,0,0,0.0,607.1,23.8,0.0,0.0,302,6254.046355043378,,,2025-05-08 05:59:19
172,0,0.0,0.0,0,0,0,0.0,607.1,23.8,0.0,0.0,302,4506.020976304545,,,2025-05-08 05:59:31
172.5,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,5515.991195131426,,,2025-05-08 06:00:20
172.7,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,6681.3414476239805,,,2025-05-08 06:00:32
173.2,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,6681.3414476239805,,,2025-05-08 06:01:20
173.2,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,4661.401009970219,,,2025-05-08 06:01:32
173.5,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,6254.046355043378,,,2025-05-08 06:02:21
173.5,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,6292.891363459797,,,2025-05-08 06:02:33
173.6,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,4506.020976304545,,,2025-05-08 06:03:22
173.6,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,6642.496439207563,,,2025-05-08 06:03:34
173.5,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,4156.415900556779,,,2025-05-08 06:04:22
173.5,0,0.0,0.0,0,0,0,0.0,607.1,23.9,0.0,0.0,302,4544.865984720963,,,2025-05-08 06:04:34
173.4,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,5244.076136216497,,,2025-05-08 06:05:23
173.4,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,4700.246018386637,,,2025-05-08 06:05:35
173.6,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,6370.581380292633,,,2025-05-08 06:06:24
173.6,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,5399.456169882171,,,2025-05-08 06:06:36
173.5,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,4700.246018386637,,,2025-05-08 06:07:25
173.5,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,5399.456169882171,,,2025-05-08 06:07:36
173.1,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,4234.105917389616,,,2025-05-08 06:08:25
173,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,5088.696102550823,,,2025-05-08 06:08:37
172.7,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,6720.186456040399,,,2025-05-08 06:09:26
172.7,0,0.0,0.0,0,0,0,0.0,607.1,24,0.0,0.0,302,5011.006085717986,,,2025-05-08 06:09:37
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,6720.186456040399,,,2025-05-08 06:10:27
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,6525.961413958306,,,2025-05-08 06:10:38
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,4661.401009970219,,,2025-05-08 06:11:27
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,4234.105917389615,,,2025-05-08 06:11:39
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,4350.640942638871,,,2025-05-08 06:12:28
172.6,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,4234.105917389616,,,2025-05-08 06:12:39
172.8,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,6836.721481289655,,,2025-05-08 06:13:29
172.8,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,6448.271397125471,,,2025-05-08 06:13:40
173,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,5593.681211964264,,,2025-05-08 06:14:29
173,0,0.0,0.0,0,0,0,0.0,607.1,24.1,0.0,0.0,302,5865.596270879193,,,2025-05-08 06:14:41
173.5,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,6137.5113297941225,,,2025-05-08 06:15:30
173.7,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,4661.401009970219,,,2025-05-08 06:15:41
174.1,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,4428.330959471708,,,2025-05-08 06:16:31
174.2,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,6681.3414476239805,,,2025-05-08 06:16:42
174.4,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,4272.950925806033,,,2025-05-08 06:17:32
174.4,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,4777.936035219474,,,2025-05-08 06:17:43
174.8,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,6759.031464456818,,,2025-05-08 06:18:32
175.1,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,6020.976304544866,,,2025-05-08 06:18:43
176.4,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,5011.006085717986,,,2025-05-08 06:19:33
176.6,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,5360.611161465752,,,2025-05-08 06:19:44
183,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,5787.906254046356,,,2025-05-08 06:20:34
183.1,0,0.0,0.0,0,0,0,0.0,607.1,24.2,0.0,0.0,302,6603.651430791144,,,2025-05-08 06:20:45
183.1,0,0.0,0.0,0,0,0,0.0,607.1,24.3,0.0,0.0,302,5593.681211964264,,,2025-05-08 06:21:34
183.1,0,0.0,0.0,0,0,0,0.0,607.1,24.3,0.0,0.0,302,4272.950925806034,,,2025-05-08 06:21:45
183,0,0.0,0.0,0,0,0,0.0,607.1,24.3,0.0,0.0,302,5282.9211446329155,,,2025-05-08 06:22:35
