vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,874.1,0,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:21:38
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,874.1,0,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:23:25
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,874.1,0,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:23:45
146.3,0,0.0,146.1,0,0.0,0.0,60.02,211.4,0,0.0,874.1,23.8,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:24:28
146.9,0,0.0,146.7,0,0.0,0.0,60.01,211.4,0,0.0,874.1,23.8,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:24:47
148.5,0,0.0,148.5,0,0.0,0.0,60,211.6,0,0.0,874.1,23.8,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:25:30
150.4,0,0.0,150.2,0,0.0,0.0,59.99,211.7,0,0.0,874.1,23.8,0.0,0.0,0,-38.845008416418494,23.812,23.812,2025-06-20 05:25:49
152.2,0,0.0,152,0,0.0,0.0,59.99,211.2,0,0.0,874.1,23.9,0.0,0.0,0,-38.845008416418494,23.812,23.75,2025-06-20 05:26:33
152.5,0,0.0,152.3,0,0.0,0.0,59.97,211.2,0,0.0,874.1,23.9,0.0,0.0,0,-38.845008416418494,23.687,23.75,2025-06-20 05:26:52
153.5,0,0.0,153.6,0,0.0,0.0,59.99,211.5,0,0.0,874.1,23.9,0.0,0.0,0,-38.845008416418494,23.75,23.687,2025-06-20 05:27:35
153.8,0,0.0,153.8,0,0.0,0.0,60.02,211.4,0,0.0,874.1,23.9,0.0,0.0,0,-38.845008416418494,23.687,23.687,2025-06-20 05:27:54
109.7,0,0.0,105.5,0,0.0,0.0,59.99,211.3,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.687,2025-06-20 05:28:38
98.9,0,0.0,90.8,0,0.0,0.0,60.03,211.3,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:28:57
156.4,0,0.0,156.2,0,0.0,0.0,60.04,211.5,0,0.0,874.1,24,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:29:40
156.5,0,0.0,156.3,0,0.0,0.0,60.01,211.5,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:29:59
157.1,0,0.0,156.9,0,0.0,0.0,59.99,211.4,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:30:43
157.3,0,0.0,157.1,0,0.0,0.0,60.03,211.5,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:31:02
157.3,0,0.0,157.1,0,0.0,0.0,59.99,211.5,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:31:45
157.7,0,0.0,157.5,0,0.0,0.0,60,211.5,0,0.0,874.1,24,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:32:04
158.8,0,0.0,158.6,0,0.0,0.0,60.03,211.5,0,0.0,874.1,24,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:32:48
159.2,0,0.0,159,0,0.0,0.0,60.06,211.7,0,0.0,874.1,24.1,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:33:07
99.2,0,0.0,80.8,0,0.0,0.0,60.01,211.6,0,0.0,874.1,24.1,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:33:50
143.6,0,0.0,136.1,0,0.0,3.4,60.04,211.7,0.5,0.0,874.1,24.1,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:34:09
137.5,0,14.4,130.9,0,7.0,21.0,60.03,211.6,0.4,0.0,874.1,24.2,0.0,0.0,0,-38.845008416418494,23.625,23.625,2025-06-20 05:34:53
137.2,0,15.8,138,0,6.7,22.2,59.97,211.5,0.3,0.0,874.1,24.3,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:35:12
117.8,0,16.0,141.2,0,6.4,22.3,59.96,211.5,0.4,0.0,874.1,24.4,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:35:55
117.9,0,16.6,138.3,0,7.0,23.1,59.97,211.5,0.4,0.0,874.1,24.5,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:36:14
122.5,0,16.1,124.5,0,9.0,24.6,60.03,211.3,0.4,0.0,874.1,24.6,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 05:36:58
120.8,0,16.5,120.3,0,8.9,25.1,60.05,211.5,0.4,0.0,874.1,24.6,0.0,0.0,0,0.0,23.687,23.75,2025-06-20 05:37:16
141.5,0,18.6,126.4,0,9.6,27.8,60.03,211.5,0.5,0.0,874.1,24.7,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 05:38:00
147.4,0,18.9,131.9,0,10.8,29.4,60.02,211.5,0.4,0.0,874.1,24.8,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 05:38:19
140.7,0,20.6,135.4,0,11.2,31.3,59.99,211.6,0.4,0.0,874.1,24.9,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 05:39:03
136.1,0,18.6,123.8,0,10.5,28.7,59.98,211.4,0.4,0.0,874.1,24.9,0.0,0.0,0,-38.845008416418494,23.687,23.687,2025-06-20 05:39:21
130.2,0,21.2,123.8,0,12.2,32.9,60.01,211.4,0.4,0.0,874.1,25,0.0,0.0,0,0.0,23.687,23.625,2025-06-20 05:40:05
133.4,0,21.1,127.8,0,13.5,34.1,60.02,211.6,0.4,0.0,874.1,25,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 05:40:24
143.7,0,20.8,131.1,0,17.0,37.7,59.98,211.4,0.5,0.0,874.1,25.1,0.0,0.0,0,-38.845008416418494,23.625,23.687,2025-06-20 05:41:07
136.1,0,22.7,137,0,16.1,38.2,60.01,211.5,0.4,0.0,874.1,25.2,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:41:26
140.9,0.1,22.4,130.6,0,17.8,39.8,59.98,211.5,0.5,0.0,874.1,25.2,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:42:10
139.1,0,21.5,128,0,16.7,37.7,59.99,211.5,0.5,0.0,874.1,25.2,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:42:29
135,0,20.0,139.7,0,12.6,32.2,60,211.5,0.4,0.0,874.1,25.3,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:43:12
137.4,0,19.4,142,0,13.1,32.6,59.98,211.5,0.4,0.0,874.1,25.4,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:43:31
137.1,0,17.8,124.4,0,13.3,30.5,60,211.3,0.3,0.0,874.1,25.4,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:44:15
140.5,0,17.4,124.4,0,12.7,29.7,60.01,211.3,0.4,0.0,874.1,25.5,0.0,0.0,0,-38.845008416418494,23.562,23.562,2025-06-20 05:44:34
140,0,17.2,127.2,0,12.5,29.3,59.98,211.2,0.4,0.0,874.1,25.5,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:45:17
137.3,0,16.3,119,0,12.1,28.0,59.99,211.1,0.4,0.0,874.1,25.6,0.0,0.0,0,-38.845008416418494,23.562,23.562,2025-06-20 05:45:36
125.6,0,16.7,127.4,0,10.6,27.6,59.97,211.3,0.4,0.0,874.1,25.7,0.0,0.0,0,-38.845008416418494,23.562,23.562,2025-06-20 05:46:20
130.6,0,17.3,126.6,0,10.3,27.2,60.01,211.3,0.4,0.0,874.1,25.7,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:46:39
138.7,0,18.7,140.5,0,9.2,27.4,60.02,211,0.4,0.0,874.1,25.8,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:47:22
129.9,0,17.1,122.5,0,11.2,28.0,60.02,211.3,0.4,0.0,874.1,25.8,0.0,0.0,0,-38.845008416418494,23.562,23.562,2025-06-20 05:47:41
127,0,17.7,117.7,0,12.6,29.8,59.99,211.3,0.5,0.0,874.1,25.8,0.0,0.0,0,0.0,23.562,23.625,2025-06-20 05:48:25
138.6,0,18.1,119.5,0,13.7,30.7,60,211.5,0.4,0.0,874.1,25.8,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:48:44
138.8,0,18.3,116.5,0,15.0,32.8,59.99,211.7,0.4,0.0,874.1,25.9,0.0,0.0,0,0.0,23.5,23.562,2025-06-20 05:49:27
135.9,0,18.5,116.7,0,16.2,34.2,60.04,211.8,0.4,0.0,874.1,26,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:49:46
132.9,0,19.1,128.3,0,16.8,35.0,59.98,211.7,0.4,0.0,874.1,26.1,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:50:30
141.6,0,20.5,125.7,0,16.0,35.9,59.97,211.7,0.5,0.0,874.1,26.1,0.0,0.0,0,-38.845008416418494,23.5,23.5,2025-06-20 05:50:48
137.3,0,19.4,124.2,0,16.3,35.0,60,211.8,0.5,0.0,874.1,26.1,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:51:32
122.5,0,19.3,130,0,16.1,34.8,60.02,211.7,0.4,0.0,874.1,26.2,0.0,0.0,0,0.0,23.5,23.437,2025-06-20 05:51:51
131.3,0,21.2,127.5,0,17.7,38.3,60.03,211.8,0.4,0.0,874.1,26.3,0.0,0.0,0,0.0,23.437,23.437,2025-06-20 05:52:34
128.5,0.1,21.0,130.2,0,17.5,37.9,59.98,211.7,0.4,0.0,874.1,26.3,0.0,0.0,0,0.0,23.437,23.437,2025-06-20 05:52:53
140.3,0,22.7,127.4,0,18.4,40.6,60,211.6,0.4,0.0,874.1,26.4,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:53:37
145.9,0,22.3,121.3,0,18.7,40.2,60,211.4,0.4,0.0,874.1,26.4,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:53:56
140.1,0,22.3,118.2,0,15.7,37.7,60.01,211.5,0.4,0.0,874.1,26.5,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:54:39
137,0,21.1,121.3,0,14.7,35.2,60.02,211.6,0.4,0.0,874.1,26.5,0.0,0.0,0,0.0,23.5,23.562,2025-06-20 05:54:58
131.1,0,22.1,138.4,0,11.3,33.0,60.02,211.5,0.3,0.0,874.1,26.6,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:55:42
140.1,0,22.9,150.4,0,12.0,35.1,60.04,211.5,0.4,0.0,874.1,26.6,0.0,0.0,0,0.0,23.5,23.5,2025-06-20 05:56:01
107.3,0.1,21.2,103.2,0.1,16.3,37.0,60.01,211.6,0.4,0.0,874.1,26.7,0.0,0.0,0,0.0,23.5,23.562,2025-06-20 05:56:44
133.9,0.1,25.9,126.5,0.1,21.5,46.6,60.03,211.5,0.4,0.0,874.1,26.7,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:57:03
131.1,0.1,26.4,135.6,0.1,24.1,49.6,60,211.2,0.4,0.0,874.1,26.8,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:57:47
131.2,0.1,26.3,129.7,0.1,24.1,49.5,60.02,211.3,0.4,0.0,874.1,26.8,0.0,0.0,0,0.0,23.562,23.625,2025-06-20 05:58:06
137,0.1,26.5,126.6,0.1,23.5,49.2,60.01,211.6,0.5,0.0,874.1,26.8,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:58:49
146.6,0.1,27.6,132.2,0.1,22.7,49.6,60,211.7,0.5,0.0,874.1,26.9,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 05:59:08
142.8,0.1,26.1,137.6,0,20.7,46.1,59.98,211.4,0.4,0.0,874.1,26.9,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 05:59:52
150.6,0.1,25.8,117.1,0.1,20.3,45.3,59.95,211.4,0.4,0.0,874.1,27,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:00:11
132.9,0.1,26.6,131.8,0.1,24.6,50.2,59.98,211.5,0.4,0.0,874.1,27.1,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:00:54
135.8,0.1,27.9,134.9,0.1,27.0,53.7,59.99,211.4,0.6,0.0,874.1,27.1,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:01:13
144.9,0.1,29.8,131.8,0.1,31.3,60.2,60.01,211.5,0.5,0.0,874.1,27.1,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:01:57
153.7,0.1,29.3,125.1,0.1,30.3,58.7,60.01,211.7,0.5,0.0,874.1,27.1,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:02:15
144.6,0.1,29.8,128.7,0.1,27.5,56.4,59.99,211.6,0.5,0.0,874.1,27.2,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:02:59
143.6,0.1,27.7,121.9,0.1,26.1,52.9,60.03,211.5,0.6,0.0,874.1,27.2,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:03:18
147.3,0.1,30.1,135.4,0.1,27.0,55.8,59.97,211.5,0.5,0.0,874.1,27.3,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:04:02
144.6,0.1,29.8,133.4,0.1,28.5,57.3,60.02,211.5,0.5,0.0,874.1,27.3,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:04:20
146.6,0.1,31.5,132.7,0.1,29.0,59.9,60,211.4,0.4,0.0,874.1,27.4,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:05:04
143.5,0.1,31.5,128.7,0.1,28.9,59.3,59.98,211.5,0.4,0.0,874.1,27.4,0.0,0.0,0,0.0,23.562,23.562,2025-06-20 06:05:23
135.7,0.1,32.1,126,0.1,27.2,58.4,60.02,211.6,0.5,0.0,874.1,27.4,0.0,0.0,0,0.0,23.562,23.625,2025-06-20 06:06:06
147,0.1,34.4,122.7,0.1,26.9,59.9,60.02,211.5,0.5,0.0,874.1,27.4,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 06:06:25
141.7,0.1,35.1,122.3,0.1,27.0,61.1,59.99,211.4,0.5,0.0,874.1,27.5,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 06:07:09
135.8,0.2,36.6,122.9,0.2,31.9,67.3,60.03,211.5,0.5,0.0,874.1,27.5,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 06:07:28
123.9,0.2,41.7,113.9,0.3,41.1,81.8,60.02,211.5,0.6,0.0,874.1,27.6,0.0,0.0,0,0.0,23.625,23.625,2025-06-20 06:08:11
128.3,0.2,43.3,124.5,0.2,44.7,86.4,59.97,211.5,0.5,0.0,874.1,27.6,0.0,0.0,0,0.0,23.625,23.687,2025-06-20 06:08:30
146.2,0.2,45.1,125.9,0.2,45.6,89.1,59.98,211.3,0.6,0.0,874.1,27.7,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 06:09:14
149.1,0.2,47.0,127.5,0.2,46.5,91.8,59.99,211.2,0.6,0.0,874.1,27.7,0.0,0.0,0,0.0,23.687,23.687,2025-06-20 06:09:33
