vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia,temp1,temp2,timestamp
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1138.5,0,0.0,0.0,0,-38.845008416418494,85.0,21.937,2025-09-05 05:33:58
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1138.5,0,0.0,0.0,0,-38.845008416418494,85.0,22.0,2025-09-05 05:35:01
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1138.5,0,0.0,0.0,0,-38.845008416418494,85.0,22.0,2025-09-05 05:37:07
147.9,0,0.0,147.8,0,0.0,0.0,0,0,0,0.0,1138.5,22.2,0.0,0.0,302,-38.845008416418494,85.0,22.0,2025-09-05 05:38:09
150.4,0,0.0,150.2,0,0.0,0.0,0,0,0,0.0,1138.5,22.2,0.0,0.0,302,-38.845008416418494,85.0,22.0,2025-09-05 05:39:12
152.3,0,0.0,152,0,0.0,0.0,0,0,0,0.0,1138.5,22.3,0.0,0.0,302,-38.845008416418494,85.0,22.0,2025-09-05 05:40:14
153.6,0,0.0,153.5,0,0.0,0.0,0,0,0,0.0,1138.5,22.3,0.0,0.0,302,-38.845008416418494,85.0,22.0,2025-09-05 05:41:17
154.9,0,0.0,154.8,0,0.0,0.0,0,0,0,0.0,1138.5,22.4,0.0,0.0,302,-38.845008416418494,85.0,22.0,2025-09-05 05:42:19
155.8,0,0.0,155.6,0,0.0,0.0,0,0,0,0.0,1138.5,22.4,0.0,0.0,302,-38.845008416418494,85.0,22.062,2025-09-05 05:43:22
156.4,0,0.0,156.1,0,0.0,0.0,0,0,0,0.0,1138.5,22.4,0.0,0.0,302,-38.845008416418494,85.0,22.062,2025-09-05 05:44:24
156.7,0,0.0,156.5,0,0.0,0.0,0,0,0,0.0,1138.5,22.5,0.0,0.0,302,-38.845008416418494,85.0,22.125,2025-09-05 05:45:27
157,0,0.0,156.8,0,0.0,0.0,0,0,0,0.0,1138.5,22.5,0.0,0.0,302,-38.845008416418494,85.0,22.187,2025-09-05 05:46:29
157.4,0,0.0,157.1,0,0.0,0.0,0,0,0,0.0,1138.5,22.5,0.0,0.0,302,-38.845008416418494,85.0,22.187,2025-09-05 05:47:32
157.9,0,0.0,157.7,0,0.0,0.0,0,0,0,0.0,1138.5,22.5,0.0,0.0,302,-38.845008416418494,85.0,22.25,2025-09-05 05:48:34
158.7,0,0.0,158.4,0,0.0,0.0,0,0,0,0.0,1138.5,22.6,0.0,0.0,302,-38.845008416418494,85.0,22.25,2025-09-05 05:49:36
159.8,0,0.0,159.3,0,0.0,0.0,0,0,0,0.0,1138.5,22.6,0.0,0.0,302,-38.845008416418494,85.0,22.25,2025-09-05 05:50:39
160.8,0,0.0,160.1,0,0.0,0.0,0,0,0,0.0,1138.5,22.7,0.0,0.0,302,0.0,85.0,22.312,2025-09-05 05:51:41
161.5,0,0.0,160.7,0,0.0,0.0,0,0,0,0.0,1138.5,22.7,0.0,0.0,302,-38.845008416418494,85.0,22.312,2025-09-05 05:52:44
162.3,0,0.0,161.1,0,0.0,0.0,0,0,0,0.0,1138.5,22.8,0.0,0.0,302,0.0,85.0,22.375,2025-09-05 05:53:46
162.6,0,0.0,161.4,0,0.0,0.0,0,0,0,0.0,1138.5,22.8,0.0,0.0,302,0.0,85.0,22.312,2025-09-05 05:54:49
163,0,0.0,161.6,0,0.0,0.0,0,0,0,0.0,1138.5,22.8,0.0,0.0,302,0.0,85.0,22.375,2025-09-05 05:55:51
163.4,0,0.0,162,0,0.0,0.0,0,0,0,0.0,1138.5,22.8,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 05:56:54
163.9,0,0.0,162.5,0,0.0,0.0,0,0,0,0.0,1138.5,22.9,0.0,0.0,302,0.0,85.0,22.375,2025-09-05 05:57:56
164.4,0,0.0,162.9,0,0.0,0.0,0,0,0,0.0,1138.5,22.9,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 05:58:59
164.9,0,0.0,163.2,0,0.0,0.0,0,0,0,0.0,1138.5,22.9,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 06:00:01
165.5,0,0.0,163.6,0,0.0,0.0,0,0,0,0.0,1138.5,23,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 06:01:04
165.9,0,0.0,163.9,0,0.0,0.0,0,0,0,0.0,1138.5,23,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 06:02:06
166.4,0,0.0,164.3,0,0.0,0.0,0,0,0,0.0,1138.5,23,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 06:03:09
166.9,0,0.0,164.7,0,0.0,0.0,0,0,0,0.0,1138.5,23,0.0,0.0,302,0.0,85.0,22.437,2025-09-05 06:04:11
167,0,0.0,165,0,0.0,0.0,0,0,0,0.0,1138.5,23,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:05:14
167.2,0,0.0,165.1,0,0.0,0.0,0,0,0,0.0,1138.5,23.1,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:06:16
167,0,0.0,165.1,0,0.0,0.0,0,0,0,0.0,1138.5,23.1,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:07:18
166.7,0,0.0,165,0,0.0,0.0,0,0,0,0.0,1138.5,23.1,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:08:21
166.5,0,0.0,165,0,0.0,0.0,0,0,0,0.0,1138.5,23.1,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:09:23
166.4,0,0.0,165.1,0,0.0,0.0,0,0,0,0.0,1138.5,23.1,0.0,0.0,302,0.0,85.0,22.562,2025-09-05 06:10:26
166.6,0,0.0,165.3,0,0.0,0.0,0,0,0,0.0,1138.5,23.2,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:11:28
167,0,0.0,165.7,0,0.0,0.0,0,0,0,0.0,1138.5,23.2,0.0,0.0,302,0.0,85.0,22.5,2025-09-05 06:12:31
167.4,0,0.0,166.2,0,0.0,0.0,0,0,0,0.0,1138.5,23.2,0.0,0.0,302,0.0,85.0,22.562,2025-09-05 06:13:33
167.8,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.2,0.0,0.0,302,0.0,85.0,22.562,2025-09-05 06:14:36
168,0,0.0,166.6,0,0.0,0.0,0,0,0,0.0,1138.5,23.2,0.0,0.0,302,0.0,85.0,22.625,2025-09-05 06:15:38
168.1,0,0.0,166.6,0,0.0,0.0,0,0,0,0.0,1138.5,23.3,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:16:41
168.2,0,0.0,166.7,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:17:43
168.4,0,0.0,166.7,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:18:46
168.5,0,0.0,166.6,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:19:48
168.5,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.625,2025-09-05 06:20:50
168.4,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.625,2025-09-05 06:21:53
168.5,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.4,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:22:55
168.6,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.5,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:23:58
168.6,0,0.0,166.6,0,0.0,0.0,0,0,0,0.0,1138.5,23.5,0.0,0.0,302,0.0,85.0,22.687,2025-09-05 06:25:00
168.7,0,0.0,166.5,0,0.0,0.0,0,0,0,0.0,1138.5,23.5,0.0,0.0,302,0.0,85.0,22.625,2025-09-05 06:26:03
