Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2[A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [°C],Energìa PV1 [Wh],Energìa PV2 [Wh],codigo_error,irradiancia_incidente,irradiancia_reflejada,albedo,temp_vertical,temp_inclinado,timestamp
,0,0.0,0,0,0.0,0.0,0,,,0.0,1378.1,,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.25,2025-10-28 05:26:32
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,,-38.845008416418494,-37.90271636133923,0,23.312,23.25,2025-10-28 05:27:31
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.25,2025-10-28 05:27:44
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,0.0,-37.90271636133923,0,23.312,23.25,2025-10-28 05:28:14
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.25,2025-10-28 05:28:29
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.375,23.25,2025-10-28 05:28:58
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.312,2025-10-28 05:29:30
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:29:45
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.25,2025-10-28 05:29:58
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.312,23.312,2025-10-28 05:30:14
,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1378.1,0,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.375,23.25,2025-10-28 05:30:29
30.5,0,0.0,30.4,0,0.0,0.0,60.01,76.1,0,0.0,1378.1,0,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:30:43
98.4,0,0.0,102.6,0,0.0,0.0,60.05,211.5,0,0.0,1378.1,23.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.375,23.25,2025-10-28 05:30:58
146.4,0,0.0,146.2,0,0.0,0.0,60.04,211.6,0,0.0,1378.1,23.4,0.0,0.0,0,-38.845008416418494,-37.90271636133923,0,23.375,23.25,2025-10-28 05:31:13
146.9,0,0.0,146.8,0,0.0,0.0,60.03,211.7,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:31:28
147.5,0,0.0,147.4,0,0.0,0.0,60.03,211.6,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:31:43
148.4,0,0.0,148.3,0,0.0,0.0,60,211.4,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.312,2025-10-28 05:31:58
148.8,0,0.0,148.7,0,0.0,0.0,60.01,211.3,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.312,2025-10-28 05:32:13
149.3,0,0.0,148.5,0,0.0,0.0,60.01,211.3,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:32:28
149.9,0,0.0,149.7,0,0.0,0.0,59.99,211.4,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:32:43
150.5,0,0.0,150.3,0,0.0,0.0,59.98,211.4,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:32:58
150.9,0,0.0,150.7,0,0.0,0.0,59.98,211.5,0,0.0,1378.1,23.4,0.0,0.0,0,0.0,0.0,0,23.375,23.25,2025-10-28 05:33:13
151.3,0,0.0,151.1,0,0.0,0.0,59.98,211.4,0,0.0,1378.1,23.5,0.0,0.0,0,0.0,-37.90271636133923,0,23.375,23.25,2025-10-28 05:33:28
