timestamp,Voltaje PV1 [V],Corriente PV1 [A],Potencia PV1 [W],Voltaje PV2 [V],Corriente PV2 [A],Potencia PV2 [W],Potencia total [Wac],Frecuencia,Voltaje [Vac],Corriente [Aac],Energia hoy [Wh],Energia total [Wh],Temperatura inversor [C],Energia PV1 [Wh],Energia PV2 [Wh],codigo_error,temp_vertical,temp_inclinado,irradiancia_incidente,irradiancia_reflejada,albedo,Irradiancia_incidente_SP722 [W/m2],Irradiancia_reflejada_SP722 [W/m2],Detector_incidente_SP722 [mV],Detector_reflejado_SP722 [mV],Albedo_SP722
2026-05-11 05:05:01,,,,,,,,,,,,,,,,0,,,-38.84501,-36.09783,0.0,,,,,
2026-05-11 05:10:01,,,,,,,,,,,,,,,,0,,,-34.96051,-36.00758,0.0,,,,,
2026-05-11 05:15:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555.1,0.0,0.0,0.0,0,22.33308,22.18717,-27.19151,-37.90272,0.0,,,,,
2026-05-11 05:20:01,139.36,0.0,0.0,132.3,0.0,0.0,0.0,56.98,193.72,0.0,0.0,2555.1,20.66,0.0,0.0,0,22.4029,22.1498,-15.538,-36.00758,0.0,,,,,
2026-05-11 05:25:01,151.04,0.0,0.0,151.89,0.0,0.0,0.0,59.99,211.37,0.0,0.0,2555.1,23.09,0.0,0.0,0,22.3874,22.156,-1.94225,-34.11245,0.0,,,,,
2026-05-11 05:30:01,157.59,0.0,0.0,158.08,0.0,0.0,0.0,60.02,211.58,0.0,0.0,2555.1,23.2,0.0,0.0,0,22.3936,22.1996,0.0,-30.32218,0.0,,,,,
2026-05-11 05:35:01,153.34,0.0,13.49,151.1,0.08,20.35,33.22,60.01,211.46,0.35,0.0,2555.1,23.55,0.0,0.0,0,22.4934,22.3186,0.0,-24.63677,0.0,,,,,
2026-05-11 05:40:01,153.9,0.09,23.14,149.42,0.09,34.87,56.38,60.0,211.22,0.47,0.0,2555.1,24.23,0.0,0.0,0,22.7654,22.406,0.0,-9.47568,0.0,,,,,
2026-05-11 05:45:01,155.59,0.1,29.61,152.08,0.23,51.02,79.19,60.0,212.52,0.5,0.0,2555.1,24.84,0.0,0.0,0,22.99975,22.5341,0.0,-9.47568,0.0,,,,,
2026-05-11 05:50:01,156.64,0.16,40.64,155.07,0.36,74.03,112.57,59.99,213.53,0.58,0.0,2555.1,25.37,0.0,0.0,0,23.2372,22.65905,0.0,-3.79027,0.0,,,,,
2026-05-11 05:55:01,160.02,0.48,86.58,166.85,1.03,188.78,270.17,60.0,213.63,1.23,0.0,2555.1,25.92,0.0,0.0,0,23.5873,22.9123,25.24926,0.0,0.0,,,,,
2026-05-11 06:00:01,164.09,0.67,115.78,162.06,2.0,327.9,434.51,60.01,213.95,1.97,0.0,2555.1,26.61,0.0,0.0,0,24.40605,23.30605,38.84501,0.0,0.0,,,,,
2026-05-11 06:05:01,166.1,0.84,145.82,157.61,2.6,409.22,538.0,60.0,213.49,2.49,0.06,2555.16,27.49,0.0,0.0,0,25.13105,23.66855,38.84501,0.0,0.0,,,,,
2026-05-11 06:10:01,166.2,1.01,174.24,157.34,2.88,454.66,605.75,60.01,213.47,2.8,0.1,2555.2,28.34,0.0,0.08,0,25.7935,24.0122,56.32526,0.0,0.0,,,,,
2026-05-11 06:15:01,165.76,1.23,207.28,156.51,3.28,509.22,687.27,60.01,213.75,3.21,0.16,2555.26,29.27,0.0,0.1,0,27.09035,24.3873,77.69002,0.0,0.0,,,,,
2026-05-11 06:20:01,168.68,1.28,223.65,154.84,3.5,543.02,734.13,60.01,213.72,3.41,0.2,2555.3,30.19,0.0,0.14,0,28.59975,24.8311,77.69002,1.89514,0.02439,,,,,
2026-05-11 06:25:01,169.14,1.49,253.13,152.84,3.86,589.38,803.73,60.01,213.42,3.77,0.29,2555.4,31.02,0.04,0.2,0,29.94355,25.2497,116.53503,3.79027,0.03252,,,,,
2026-05-11 06:30:01,168.91,1.66,284.69,152.83,4.05,631.58,871.37,60.01,213.62,4.0,0.35,2555.45,31.87,0.1,0.23,0,31.1373,26.0341,116.53503,30.32218,0.2602,,,,,
2026-05-11 06:35:01,166.89,1.88,318.9,151.02,4.21,636.05,907.55,60.0,213.7,4.17,0.42,2555.51,32.69,0.1,0.3,0,32.0716,26.95605,145.66878,36.00758,0.24394,,,,,
2026-05-11 06:40:01,166.09,2.11,351.75,150.32,4.33,653.86,957.8,60.01,213.58,4.4,0.5,2555.6,33.54,0.1,0.35,0,32.82165,28.0685,161.20678,36.00758,0.21955,,,,,
2026-05-11 06:45:01,165.44,2.26,380.74,151.23,4.57,686.71,1012.46,59.97,213.62,4.68,0.59,2555.69,34.37,0.17,0.4,0,33.5778,29.0716,186.45604,37.90272,0.20653,,,,,
2026-05-11 06:50:01,163.63,2.39,396.57,150.3,4.6,673.99,1016.45,59.98,213.83,4.73,0.67,2555.78,34.97,0.2,0.47,0,34.19035,30.17475,196.16729,37.90272,0.19759,,,,,
2026-05-11 06:55:01,163.31,2.57,430.32,148.53,4.62,687.81,1059.1,60.0,213.91,4.87,0.76,2555.86,35.45,0.2,0.5,0,34.9904,31.0217,219.4743,34.11245,0.14636,,,,,
2026-05-11 07:00:01,164.28,2.71,444.31,148.73,4.64,706.41,1092.86,60.01,213.79,4.99,0.85,2555.95,36.12,0.27,0.6,0,35.6185,32.2029,238.8968,36.00758,0.14317,,,,,
2026-05-11 07:05:01,164.31,2.98,482.91,148.69,5.01,740.89,1160.99,60.01,213.53,5.4,0.94,2556.04,36.36,0.3,0.63,0,35.68105,32.6748,264.14606,37.90272,0.14404,,,,,
2026-05-11 07:10:01,163.13,3.15,508.31,148.42,5.05,754.17,1195.36,60.0,213.18,5.56,1.04,2556.14,37.01,0.32,0.7,0,36.2653,33.4466,271.91506,37.90272,0.13939,,,,,
2026-05-11 07:15:01,163.29,3.26,539.57,148.97,5.18,764.29,1234.58,59.99,213.08,5.73,1.14,2556.24,37.55,0.4,0.77,0,36.6685,34.28405,306.87557,45.48326,0.14811,,,,,
2026-05-11 07:20:01,161.38,3.48,561.71,149.34,5.14,768.01,1257.84,60.01,212.46,5.86,1.25,2556.35,38.0,0.4,0.82,0,36.96855,34.61225,312.70232,64.43462,0.20599,,,,,
2026-05-11 07:25:01,161.76,3.54,575.31,147.63,5.18,766.73,1269.57,60.0,212.65,5.87,1.35,2556.45,38.35,0.5,0.9,0,37.6716,35.30605,345.72058,73.91029,0.21344,,,,,
2026-05-11 07:30:01,160.12,3.75,590.54,147.64,5.21,755.6,1272.53,60.03,212.38,6.04,1.46,2556.55,38.7,0.5,0.96,0,37.9372,36.0373,349.60508,73.91029,0.21168,,,,,
2026-05-11 07:35:01,157.64,3.96,619.19,147.09,5.17,771.19,1310.38,59.99,212.35,6.04,1.56,2556.65,39.09,0.59,1.0,0,38.4341,36.66215,376.79658,73.91029,0.19623,,,,,
2026-05-11 07:40:01,160.63,4.11,646.71,147.33,5.34,779.12,1348.5,60.01,212.48,6.35,1.66,2556.77,39.73,0.6,1.1,0,38.86225,37.47485,402.04583,73.91029,0.18349,,,,,
2026-05-11 07:45:01,159.4,4.03,639.92,147.17,5.03,740.78,1304.83,60.01,212.53,6.13,1.78,2556.88,40.2,0.7,1.14,0,39.19045,38.1685,405.93034,72.01516,0.17682,,,,,
2026-05-11 07:50:01,158.98,4.38,685.89,146.79,5.29,777.21,1380.2,59.98,212.31,6.5,1.88,2556.98,40.34,0.72,1.2,0,39.52475,38.48095,429.23734,75.80543,0.17667,,,,,
2026-05-11 07:55:01,159.04,4.47,706.12,147.35,5.25,772.47,1396.6,59.97,212.47,6.56,2.02,2557.11,40.62,0.8,1.29,0,39.75595,38.92475,466.1401,75.80543,0.16262,,,,,
2026-05-11 08:00:01,158.51,4.54,716.58,148.56,5.18,768.57,1401.71,60.0,212.07,6.58,2.13,2557.23,41.01,0.85,1.33,0,39.80605,39.6341,466.1401,75.80543,0.16262,,,,,
2026-05-11 08:05:01,158.94,4.72,735.92,147.76,5.24,773.6,1426.45,60.02,212.09,6.71,2.24,2557.35,41.43,0.9,1.4,0,40.33725,40.0186,501.10061,75.80543,0.15136,,,,,
2026-05-11 08:10:01,157.37,4.77,747.65,148.12,5.13,758.53,1417.77,59.99,211.92,6.71,2.36,2557.46,41.85,0.98,1.47,0,40.5247,40.5373,501.10061,77.70057,0.15523,,,,,
2026-05-11 08:15:01,157.27,4.93,761.53,147.99,5.17,757.38,1433.88,60.0,211.61,6.86,2.48,2557.57,42.33,1.03,1.52,0,40.74035,40.98405,532.17662,85.28111,0.1603,,,,,
2026-05-11 08:20:01,158.21,5.06,789.3,148.13,5.15,761.63,1465.7,59.97,212.14,6.9,2.61,2557.7,42.83,1.1,1.6,0,40.80605,40.0467,541.88787,100.4422,0.18516,,,,,
2026-05-11 08:25:01,156.43,5.17,808.17,148.23,5.08,750.87,1467.37,59.97,212.02,6.9,2.73,2557.83,43.2,1.17,1.65,0,40.7842,40.4404,569.07938,111.81301,0.19631,,,,,
2026-05-11 08:30:01,156.81,5.32,820.71,147.84,5.12,751.16,1484.67,60.01,212.1,7.02,2.85,2557.95,43.22,1.23,1.7,0,40.48415,40.2185,578.79063,111.81301,0.1929,,,,,
2026-05-11 08:35:01,157.63,5.4,830.17,147.01,5.08,747.25,1489.02,60.01,212.02,7.09,2.97,2558.07,43.57,1.3,1.79,0,40.2935,39.95285,588.50188,113.70815,0.19332,,,,,
2026-05-11 08:40:01,156.6,5.56,859.76,147.96,5.05,744.42,1513.96,59.99,211.77,7.15,3.1,2558.2,43.93,1.38,1.83,0,40.30595,40.13405,621.52013,113.70815,0.18295,,,,,
2026-05-11 08:45:01,156.16,5.8,896.61,147.7,5.17,758.13,1560.68,60.0,212.07,7.41,3.23,2558.33,44.09,1.45,1.9,0,40.4684,40.05595,646.76939,113.70815,0.17596,,,,,
2026-05-11 08:50:01,155.91,5.97,916.17,146.99,5.18,760.64,1581.75,60.01,212.3,7.48,3.35,2558.46,44.01,1.52,1.98,0,40.66545,40.7779,672.01864,113.70815,0.16932,,,,,
2026-05-11 08:55:01,155.26,5.35,816.71,146.39,4.58,667.24,1403.76,60.01,211.53,6.71,3.48,2558.58,44.21,1.6,2.0,0,40.86855,40.8497,613.75113,94.75679,0.13954,,,,,
2026-05-11 09:00:01,154.39,4.47,683.26,147.76,3.62,541.0,1158.77,60.0,211.06,5.47,3.6,2558.7,44.12,1.67,2.1,0,39.76535,39.24665,504.98511,77.70057,0.10724,,,,,
2026-05-11 09:05:01,156.9,6.46,996.63,151.0,5.05,756.33,1655.39,60.03,211.53,7.92,3.71,2558.81,44.32,1.72,2.12,0,39.34655,39.4841,743.88191,123.18383,0.16527,,,,,
2026-05-11 09:10:01,152.01,6.43,925.99,150.03,4.82,706.83,1542.97,60.01,211.82,7.6,3.84,2558.94,44.5,1.8,2.2,0,39.9841,41.3247,724.45941,140.24005,0.19273,,,,,
2026-05-11 09:15:01,153.43,6.59,1005.5,149.54,4.88,731.23,1637.62,59.99,211.9,7.72,3.97,2559.07,44.78,1.9,2.25,0,41.0467,43.6654,773.01567,140.24005,0.18114,,,,,
2026-05-11 09:24:08,155.57,6.37,974.13,151.1,4.43,673.9,1562.57,60.02,210.37,7.47,4.23,2559.33,44.2,2.1,2.4,0,40.354,41.812,776.90017,113.70815,0.14636,840.14069,154.9341,37.07594,5.62579,0.18441
2026-05-11 09:27:13,154.18,6.48,988.69,152.71,4.41,673.74,1571.44,60.02,211.38,7.43,4.3,2559.4,43.84,2.1,2.4,0,40.03279,41.28832,778.04267,136.00387,0.17479,854.0301,158.96163,37.68888,5.77203,0.18612
2026-05-11 09:32:06,153.28,6.81,1043.83,151.53,4.75,722.22,1664.69,60.0,211.67,7.85,4.4,2559.5,44.22,2.15,2.42,0,40.85908,43.22108,838.40477,151.61087,0.18125,917.42655,172.31321,40.48661,6.25683,0.1878
2026-05-11 09:37:06,150.11,6.78,1009.47,147.48,4.64,687.47,1595.06,60.01,211.28,7.62,4.54,2559.64,45.21,2.24,2.5,0,42.46225,45.2247,848.76343,142.13519,0.16502,909.41187,169.22232,40.13292,6.1446,0.1858
2026-05-11 09:42:06,150.92,6.67,1011.4,149.16,4.43,666.93,1577.07,60.0,211.7,7.36,4.67,2559.77,45.76,2.32,2.56,0,43.04965,45.59045,835.16768,144.03032,0.17193,912.90907,169.2435,40.28725,6.14537,0.18502
2026-05-11 09:47:06,152.17,5.31,804.19,147.0,3.5,521.2,1255.68,60.0,210.72,5.87,4.78,2559.89,45.52,2.4,2.6,0,42.53105,44.581,677.8454,111.81301,0.16411,725.17455,133.03519,32.00241,4.83062,0.18253
2026-05-11 09:52:06,152.27,5.45,834.32,150.95,3.4,518.76,1275.28,60.0,211.29,5.99,4.9,2559.99,45.43,2.48,2.64,0,41.9561,44.35605,697.2679,119.39356,0.16898,747.25091,137.7588,32.97665,5.00213,0.18283
2026-05-11 09:57:06,151.56,7.04,1057.45,153.75,3.77,584.84,1551.25,60.02,211.36,7.36,5.02,2560.12,45.62,2.55,2.7,0,42.0466,44.49355,885.66619,151.61087,0.1714,962.69457,179.37406,42.48431,6.51322,0.1863
2026-05-11 10:02:06,150.87,7.03,1053.94,156.0,3.5,539.76,1505.17,60.03,210.92,7.16,5.15,2560.25,45.37,2.64,2.72,0,42.0216,44.56855,883.72394,151.61087,0.17162,961.32268,178.70041,42.42377,6.48876,0.18589
2026-05-11 10:07:06,151.4,6.88,1020.55,155.85,3.21,506.21,1444.11,60.01,212.3,6.81,5.26,2560.36,45.4,2.72,2.8,0,42.1309,45.5185,854.59019,151.61087,0.17741,936.54099,173.91245,41.33014,6.3149,0.1857
2026-05-11 10:12:06,151.39,6.75,1022.0,155.8,3.02,469.83,1411.53,60.01,212.23,6.62,5.38,2560.48,45.44,2.8,2.8,0,42.10285,44.9903,854.59019,151.61087,0.17741,935.14524,173.2803,41.26855,6.29195,0.1853
2026-05-11 10:17:06,151.6,6.85,1024.11,157.51,2.84,446.69,1394.72,60.0,212.09,6.58,5.5,2560.6,44.95,2.9,2.88,0,41.2373,43.86535,854.59019,151.61087,0.17741,942.77609,174.39128,41.6053,6.33229,0.18498
2026-05-11 10:22:06,152.12,6.85,1029.58,158.59,2.74,438.71,1391.94,59.98,211.39,6.58,5.62,2560.72,44.71,2.98,2.9,0,41.17475,43.081,856.53244,151.61087,0.17702,953.92578,176.09697,42.09734,6.39423,0.1846
2026-05-11 10:27:06,151.39,6.88,1033.29,158.52,2.6,415.06,1373.42,59.99,211.33,6.49,5.74,2560.84,44.79,3.07,2.9,0,40.68095,44.17475,862.35919,151.61087,0.17587,956.04102,177.61865,42.19069,6.44948,0.18579
2026-05-11 10:32:06,151.3,6.88,1030.39,158.45,2.51,399.81,1356.35,60.01,211.76,6.43,5.85,2560.95,44.89,3.15,3.0,0,40.8935,44.5935,885.66619,151.61087,0.17123,966.0417,178.98078,42.63203,6.49894,0.18527
